customerID,SeniorCitizen,Partner,Dependents,tenure,Contract,InternetService,TechSupport,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00037,0,No,No,23,Month-to-month,No,No,No,Mailed check,72.56,1625.42,Yes
CUST-00038,0,Yes,Yes,31,Month-to-month,DSL,No,No,Bank transfer,103.16,2978.28,Yes
CUST-00039,0,Yes,Yes,17,One year,Fiber optic,No,Yes,Electronic check,81.96,1354.61,No
CUST-00040,0,No,Yes,29,Month-to-month,DSL,No internet service,No,Bank transfer,56.54,1592.82,No
CUST-00041,0,Yes,No,28,Two year,DSL,No,No,Electronic check,81.36,2126.19,Yes
CUST-00042,0,No,No,25,One year,Fiber optic,No,Yes,Bank transfer,37.05,858.68,Yes
CUST-00043,0,No,Yes,54,Month-to-month,DSL,No,No,Electronic check,45.75,2330.03,No
CUST-00044,0,No,Yes,43,Two year,No,Yes,No,Credit card,71.66,3000.98,No
CUST-00045,0,No,Yes,34,Two year,No,Yes,Yes,Bank transfer,21.84,682.68,No
CUST-00046,1,Yes,Yes,8,Month-to-month,DSL,No internet service,No,Electronic check,64.26,507.62,No
CUST-00047,0,Yes,Yes,41,Month-to-month,No,No,Yes,Electronic check,44.59,1692.04,Yes
CUST-00048,0,No,No,12,One year,Fiber optic,Yes,Yes,Electronic check,67.03,791.46,Yes
CUST-00049,0,Yes,Yes,22,Month-to-month,Fiber optic,Yes,No,Credit card,43.45,875.2,Yes
CUST-00050,0,Yes,No,30,Month-to-month,No,No internet service,No,Bank transfer,73.48,2146.96,No
CUST-00051,0,No,Yes,10,Month-to-month,Fiber optic,No,Yes,Mailed check,65.39,625.22,Yes
CUST-00052,1,No,No,28,One year,DSL,No,No,Mailed check,93.01,2516.11,No
CUST-00053,0,No,No,19,One year,DSL,Yes,Yes,Electronic check,65.13,1234.27,No
CUST-00054,0,Yes,Yes,62,One year,Fiber optic,No internet service,Yes,Electronic check,49.63,2785.53,No
CUST-00055,1,No,No,62,One year,No,No internet service,Yes,Credit card,60.06,3406.88,No
CUST-00056,0,Yes,Yes,0,Month-to-month,Fiber optic,No,No,Bank transfer,38.12,34.61,Yes
CUST-00057,0,No,No,43,One year,Fiber optic,No,Yes,Mailed check,73.12,2993.13,No
CUST-00058,0,Yes,No,46,Month-to-month,DSL,No,Yes,Electronic check,76.8,3463.14,No
CUST-00059,0,No,No,27,Month-to-month,No,No internet service,No,Mailed check,114.38,2796.37,No
CUST-00060,1,No,No,34,One year,DSL,No,Yes,Mailed check,52.56,1747.62,Yes
CUST-00061,0,Yes,Yes,57,Month-to-month,Fiber optic,No internet service,Yes,Electronic check,59.64,3206.75,Yes
CUST-00062,0,No,No,27,One year,Fiber optic,No,Yes,Bank transfer,53.48,1435.5,Yes
CUST-00063,0,Yes,No,4,One year,DSL,No,No,Bank transfer,69.24,259.86,Yes
CUST-00064,0,Yes,No,27,One year,DSL,No,No,Credit card,72.63,1957.99,No
CUST-00065,1,Yes,No,18,One year,Fiber optic,No internet service,No,Mailed check,63.93,1099.71,No
CUST-00066,1,No,Yes,27,One year,DSL,Yes,Yes,Mailed check,86.73,2339.37,Yes
CUST-00067,1,Yes,No,16,Month-to-month,Fiber optic,Yes,Yes,Credit card,52.66,811.54,No
CUST-00068,0,No,No,10,Month-to-month,No,No,No,Mailed check,84.72,791.82,No
CUST-00069,0,No,Yes,71,Month-to-month,DSL,No,Yes,Bank transfer,75.77,5273.91,No
CUST-00070,0,No,No,9,Month-to-month,Fiber optic,No internet service,Yes,Bank transfer,64.76,552.94,Yes
CUST-00071,0,Yes,No,51,Month-to-month,DSL,Yes,Yes,Credit card,58.7,2786.78,No
CUST-00072,0,No,No,52,Two year,DSL,No,Yes,Mailed check,113.53,5595.59,No
CUST-00073,0,Yes,Yes,45,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,48.66,2161.65,No
CUST-00074,0,Yes,No,66,Month-to-month,Fiber optic,No,No,Electronic check,70.96,4557.99,No
CUST-00075,0,No,Yes,0,Month-to-month,Fiber optic,No,Yes,Credit card,50.0,45.87,Yes
CUST-00076,1,No,No,22,Month-to-month,DSL,No,No,Electronic check,100.71,2179.86,No
CUST-00077,0,Yes,No,13,One year,Fiber optic,No,Yes,Bank transfer,82.74,1014.46,No
CUST-00078,0,Yes,Yes,42,One year,Fiber optic,Yes,No,Electronic check,51.43,1961.95,Yes
CUST-00079,0,Yes,Yes,46,One year,No,No,Yes,Mailed check,75.25,3166.29,No
CUST-00080,1,Yes,Yes,65,One year,Fiber optic,No internet service,No,Electronic check,70.15,4133.94,No
CUST-00081,0,Yes,No,27,Month-to-month,No,No,Yes,Bank transfer,54.67,1428.35,Yes
CUST-00082,0,Yes,No,17,Two year,DSL,Yes,No,Mailed check,80.16,1261.55,No
CUST-00083,0,Yes,Yes,67,Month-to-month,Fiber optic,No,Yes,Bank transfer,72.79,4436.23,No
CUST-00084,1,Yes,No,49,Month-to-month,Fiber optic,Yes,Yes,Mailed check,69.31,3180.76,No
CUST-00085,0,No,No,55,Month-to-month,Fiber optic,Yes,No,Electronic check,64.16,3481.86,Yes
CUST-00086,0,No,Yes,32,One year,Fiber optic,Yes,No,Bank transfer,73.62,2268.37,No
CUST-00087,0,No,No,32,Month-to-month,Fiber optic,Yes,No,Bank transfer,69.59,2112.47,No
CUST-00088,0,Yes,No,28,Month-to-month,No,Yes,No,Bank transfer,66.18,1803.6,No
CUST-00089,0,No,No,54,Month-to-month,DSL,No,No,Mailed check,52.18,2557.33,Yes
CUST-00090,1,Yes,No,15,Month-to-month,No,Yes,Yes,Bank transfer,98.88,1465.81,Yes
CUST-00091,1,No,Yes,71,One year,Fiber optic,No,Yes,Bank transfer,43.99,2866.47,No
CUST-00092,0,Yes,Yes,12,Month-to-month,Fiber optic,No internet service,Yes,Electronic check,73.55,796.23,Yes
CUST-00093,0,No,Yes,33,Month-to-month,Fiber optic,No,No,Electronic check,58.6,1810.49,Yes
CUST-00094,0,Yes,Yes,22,Month-to-month,DSL,No,Yes,Mailed check,100.19,1996.64,No
CUST-00095,0,No,No,46,One year,No,No,Yes,Electronic check,46.93,1978.97,No
CUST-00096,0,Yes,No,49,Month-to-month,No,Yes,Yes,Bank transfer,50.29,2399.89,No
CUST-00097,1,No,No,67,Month-to-month,No,No,Yes,Electronic check,45.6,2873.33,Yes
CUST-00098,0,No,No,57,Month-to-month,No,No,Yes,Electronic check,71.47,3669.22,No
CUST-00099,0,Yes,No,18,Two year,Fiber optic,No internet service,Yes,Electronic check,37.54,651.65,No
CUST-00100,0,No,Yes,15,Two year,Fiber optic,No internet service,Yes,Mailed check,55.43,807.1,No
CUST-00101,0,Yes,No,64,One year,No,No internet service,No,Electronic check,21.95,1391.03,No
CUST-00102,0,No,Yes,35,Month-to-month,DSL,No,Yes,Bank transfer,69.81,2236.79,Yes
CUST-00103,0,Yes,Yes,7,Two year,No,No,Yes,Electronic check,55.0,379.5,No
CUST-00104,0,No,No,60,One year,Fiber optic,No internet service,Yes,Credit card,35.24,2052.81,Yes
CUST-00105,0,No,No,47,One year,Fiber optic,No internet service,Yes,Bank transfer,86.71,3897.53,No
CUST-00106,0,Yes,No,1,Month-to-month,Fiber optic,No,Yes,Electronic check,38.85,35.98,Yes
CUST-00107,0,No,Yes,57,Month-to-month,Fiber optic,No internet service,Yes,Mailed check,80.94,4363.45,No
CUST-00108,1,No,No,44,Month-to-month,DSL,No internet service,Yes,Electronic check,50.98,2063.28,Yes
CUST-00109,0,No,Yes,44,Two year,Fiber optic,No,No,Credit card,97.03,4148.79,No
CUST-00110,0,Yes,No,63,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,79.99,4890.0,No
CUST-00111,0,Yes,No,36,Month-to-month,DSL,Yes,Yes,Credit card,44.84,1483.73,No
CUST-00112,0,Yes,No,33,Month-to-month,DSL,No,Yes,Mailed check,46.66,1424.7,No
CUST-00113,0,Yes,No,45,One year,Fiber optic,Yes,Yes,Electronic check,77.11,3435.64,Yes
CUST-00114,0,Yes,No,14,Month-to-month,DSL,No,Yes,Electronic check,59.75,792.31,Yes
CUST-00115,0,No,No,11,Two year,No,No,Yes,Mailed check,61.61,647.29,No
CUST-00116,0,No,Yes,61,One year,DSL,No internet service,Yes,Credit card,90.44,5494.01,No
CUST-00117,0,No,Yes,15,One year,Fiber optic,No internet service,Yes,Mailed check,50.03,690.94,No
CUST-00118,0,Yes,No,36,Month-to-month,DSL,No,No,Credit card,66.83,2316.17,Yes
CUST-00119,0,Yes,No,19,One year,Fiber optic,No,Yes,Mailed check,84.09,1561.6,Yes
CUST-00120,0,No,No,16,One year,Fiber optic,Yes,Yes,Electronic check,81.18,1210.48,Yes
CUST-00121,0,No,Yes,43,One year,Fiber optic,No,Yes,Mailed check,61.81,2474.13,No
CUST-00122,0,No,Yes,58,Month-to-month,Fiber optic,Yes,Yes,Electronic check,59.22,3399.32,Yes
CUST-00123,0,No,No,32,Month-to-month,Fiber optic,No,No,Bank transfer,30.22,879.95,Yes
CUST-00124,0,Yes,No,10,Month-to-month,DSL,No internet service,Yes,Electronic check,43.88,401.82,No
CUST-00125,1,No,No,17,Month-to-month,Fiber optic,No,Yes,Bank transfer,71.37,1141.82,Yes
CUST-00126,0,No,Yes,12,Month-to-month,Fiber optic,No,No,Mailed check,62.24,731.82,No
CUST-00127,0,Yes,Yes,64,Month-to-month,Fiber optic,No,Yes,Mailed check,66.5,4024.04,No
CUST-00128,0,No,No,23,Month-to-month,Fiber optic,No internet service,Yes,Bank transfer,85.79,1829.24,Yes
CUST-00129,0,Yes,No,27,One year,Fiber optic,No,No,Bank transfer,41.25,1049.19,Yes
CUST-00130,0,Yes,Yes,5,Month-to-month,Fiber optic,No,No,Credit card,60.28,284.69,Yes
CUST-00131,0,Yes,No,32,Two year,DSL,Yes,Yes,Mailed check,68.77,2140.57,No
CUST-00132,1,No,No,66,One year,DSL,No,No,Credit card,50.92,3316.61,No
CUST-00133,1,No,Yes,29,Month-to-month,DSL,Yes,Yes,Credit card,93.63,2530.97,No
CUST-00134,0,Yes,No,47,One year,Fiber optic,No,No,Credit card,83.17,3795.06,No
CUST-00135,0,No,No,13,Month-to-month,No,No,Yes,Credit card,70.8,892.92,No
CUST-00136,0,No,Yes,10,Two year,Fiber optic,Yes,No,Credit card,100.88,985.29,Yes
CUST-00137,0,Yes,No,53,Month-to-month,Fiber optic,No,Yes,Mailed check,35.02,1777.23,Yes
CUST-00138,0,Yes,Yes,4,One year,DSL,Yes,Yes,Bank transfer,64.85,233.84,No
CUST-00139,0,Yes,No,32,Month-to-month,No,Yes,Yes,Credit card,72.33,2234.91,No
CUST-00140,0,Yes,No,23,Month-to-month,DSL,Yes,No,Mailed check,46.71,1032.68,No
CUST-00141,1,No,No,1,Month-to-month,Fiber optic,Yes,No,Credit card,71.01,68.25,Yes
CUST-00142,0,No,No,38,Two year,No,No internet service,No,Bank transfer,42.87,1511.98,No
CUST-00143,0,Yes,No,70,One year,Fiber optic,No internet service,No,Mailed check,78.81,5019.03,No
CUST-00144,0,No,No,5,Month-to-month,DSL,No,Yes,Credit card,86.16,395.88,No
CUST-00145,0,Yes,No,59,Month-to-month,DSL,No,No,Electronic check,70.45,3830.76,Yes
CUST-00146,0,Yes,Yes,39,Month-to-month,Fiber optic,No,Yes,Bank transfer,27.94,999.61,No
CUST-00147,0,Yes,No,52,Month-to-month,DSL,No internet service,No,Credit card,45.66,2194.95,No
CUST-00148,0,Yes,Yes,7,Month-to-month,Fiber optic,No,No,Electronic check,76.29,484.3,Yes
CUST-00149,0,Yes,No,63,Month-to-month,Fiber optic,Yes,Yes,Mailed check,65.42,3820.32,No
CUST-00150,0,Yes,No,0,Two year,DSL,No,Yes,Bank transfer,18.0,18.0,No
CUST-00151,0,Yes,No,66,Two year,DSL,No internet service,No,Electronic check,89.86,5640.97,No
CUST-00152,0,Yes,No,48,Month-to-month,No,Yes,No,Credit card,67.73,3037.91,Yes
CUST-00153,0,No,No,24,One year,Fiber optic,No,No,Bank transfer,48.62,1134.26,Yes
CUST-00154,0,Yes,No,0,Month-to-month,Fiber optic,No,Yes,Mailed check,84.9,80.4,Yes
CUST-00155,0,No,No,44,One year,Fiber optic,No,Yes,Mailed check,51.45,2044.1,No
CUST-00156,0,Yes,No,6,Month-to-month,DSL,No,No,Electronic check,51.23,293.47,No
CUST-00157,0,No,Yes,44,One year,Fiber optic,No,No,Electronic check,72.17,2954.49,Yes
CUST-00158,0,Yes,No,56,One year,Fiber optic,No internet service,Yes,Bank transfer,100.62,5393.09,No
CUST-00159,0,No,Yes,19,One year,Fiber optic,No,Yes,Credit card,97.47,1698.82,No
CUST-00160,0,Yes,Yes,17,Month-to-month,No,Yes,No,Mailed check,72.19,1163.73,Yes
CUST-00161,0,Yes,Yes,16,Two year,No,No internet service,No,Electronic check,74.25,1092.2,No
CUST-00162,0,No,No,16,Month-to-month,Fiber optic,No,Yes,Bank transfer,80.83,1202.6,Yes
CUST-00163,0,No,No,8,Month-to-month,Fiber optic,No,No,Bank transfer,39.86,308.9,Yes
CUST-00164,0,No,No,18,One year,Fiber optic,No,No,Electronic check,77.88,1293.57,No
CUST-00165,0,No,No,48,Month-to-month,Fiber optic,No internet service,Yes,Bank transfer,50.32,2274.58,No
CUST-00166,1,Yes,No,22,Two year,DSL,No,Yes,Electronic check,71.37,1424.61,No
CUST-00167,0,No,Yes,57,Two year,No,Yes,Yes,Electronic check,60.45,3337.86,No
CUST-00168,0,Yes,No,59,Month-to-month,No,No,No,Mailed check,75.02,4222.11,No
CUST-00169,0,No,No,55,Two year,DSL,Yes,Yes,Bank transfer,67.36,3635.81,No
CUST-00170,0,No,No,39,Month-to-month,No,No,No,Bank transfer,18.0,669.36,No
CUST-00171,0,Yes,No,23,Month-to-month,No,Yes,Yes,Bank transfer,68.58,1576.43,Yes
CUST-00172,1,No,No,67,Month-to-month,Fiber optic,No,Yes,Electronic check,77.84,4819.51,No
CUST-00173,0,Yes,No,14,Two year,No,No,No,Mailed check,73.92,1008.19,No
CUST-00174,0,Yes,No,33,Month-to-month,DSL,No internet service,No,Bank transfer,62.95,1959.42,No
CUST-00175,0,No,No,33,Month-to-month,DSL,No,Yes,Bank transfer,97.84,3027.24,No
CUST-00176,0,Yes,Yes,54,Month-to-month,DSL,No internet service,Yes,Electronic check,71.23,3743.15,No
CUST-00177,0,Yes,Yes,39,Two year,Fiber optic,No internet service,Yes,Credit card,73.75,2863.47,Yes
CUST-00178,0,No,No,58,Two year,Fiber optic,Yes,Yes,Electronic check,85.89,4859.86,No
CUST-00179,0,Yes,No,67,One year,No,No,Yes,Credit card,72.25,4516.48,No
CUST-00180,0,Yes,No,28,Two year,DSL,Yes,Yes,Bank transfer,47.04,1252.57,No
CUST-00181,0,Yes,No,63,Two year,DSL,No internet service,Yes,Electronic check,18.0,1045.22,No
CUST-00182,0,No,No,12,Month-to-month,Fiber optic,No,No,Mailed check,55.46,640.25,Yes
CUST-00183,0,Yes,No,66,Month-to-month,DSL,Yes,No,Mailed check,80.22,4978.22,No
CUST-00184,0,No,No,12,One year,Fiber optic,Yes,No,Credit card,57.94,641.61,No
CUST-00185,0,Yes,No,62,One year,Fiber optic,No,Yes,Bank transfer,81.02,4531.51,No
CUST-00186,0,No,No,28,Month-to-month,No,No internet service,Yes,Mailed check,67.97,1888.95,No
CUST-00187,0,Yes,No,70,Month-to-month,Fiber optic,No,Yes,Credit card,90.76,5767.96,No
CUST-00188,0,Yes,No,9,One year,DSL,Yes,No,Electronic check,59.1,496.23,No
CUST-00189,1,No,Yes,33,Month-to-month,DSL,No,Yes,Credit card,74.35,2254.92,No
CUST-00190,0,No,Yes,65,Two year,DSL,No,No,Credit card,75.12,4635.79,No
CUST-00191,0,Yes,No,3,Month-to-month,No,No,Yes,Mailed check,95.03,262.14,Yes
CUST-00192,0,Yes,No,19,Month-to-month,Fiber optic,Yes,No,Electronic check,30.87,571.06,No
CUST-00193,0,No,No,6,Two year,Fiber optic,No,Yes,Credit card,55.83,309.01,No
CUST-00194,0,Yes,No,23,Month-to-month,DSL,No internet service,Yes,Credit card,81.97,1731.74,No
CUST-00195,0,Yes,No,28,Month-to-month,No,No,No,Mailed check,95.92,2475.43,No
CUST-00196,0,No,No,45,One year,DSL,No,Yes,Electronic check,69.8,2920.36,No
CUST-00197,0,No,Yes,18,Two year,Fiber optic,No,Yes,Mailed check,59.15,1026.57,Yes
CUST-00198,0,No,Yes,11,Month-to-month,Fiber optic,No,Yes,Electronic check,80.14,811.87,Yes
CUST-00199,0,No,No,12,Month-to-month,DSL,No,No,Bank transfer,82.37,958.48,No
CUST-00200,1,No,No,68,One year,Fiber optic,Yes,No,Bank transfer,57.81,3707.08,No
CUST-00201,0,Yes,Yes,69,Two year,DSL,Yes,Yes,Mailed check,71.61,4544.32,No
CUST-00202,0,No,Yes,16,Month-to-month,Fiber optic,No internet service,No,Bank transfer,88.61,1310.02,Yes
CUST-00203,0,Yes,No,14,Month-to-month,No,No internet service,No,Bank transfer,102.81,1371.31,No
CUST-00204,0,No,No,3,Month-to-month,Fiber optic,No,Yes,Electronic check,79.85,224.67,Yes
CUST-00205,0,No,No,70,Month-to-month,No,Yes,Yes,Mailed check,65.88,4387.35,Yes
CUST-00206,0,Yes,No,51,Month-to-month,Fiber optic,Yes,Yes,Credit card,63.92,3198.82,No
CUST-00207,1,No,Yes,55,One year,DSL,Yes,No,Credit card,76.15,3788.62,No
CUST-00208,0,No,No,21,Month-to-month,Fiber optic,No internet service,Yes,Credit card,62.69,1236.66,Yes
CUST-00209,0,Yes,Yes,46,Month-to-month,Fiber optic,No internet service,No,Credit card,68.79,2979.37,No
CUST-00210,1,Yes,Yes,4,One year,DSL,No,Yes,Electronic check,43.84,162.22,No
CUST-00211,0,Yes,No,49,One year,Fiber optic,No internet service,No,Mailed check,90.94,4207.36,No
CUST-00212,1,No,No,42,Month-to-month,Fiber optic,Yes,Yes,Mailed check,42.2,1695.59,No
CUST-00213,1,No,No,24,Two year,Fiber optic,No,No,Bank transfer,56.36,1296.5,No
CUST-00214,0,Yes,No,51,One year,DSL,Yes,Yes,Credit card,66.95,3301.72,No
CUST-00215,0,Yes,No,47,One year,No,No,Yes,Bank transfer,104.82,4471.71,Yes
CUST-00216,0,No,Yes,32,Month-to-month,Fiber optic,No internet service,Yes,Bank transfer,56.55,1711.88,Yes
CUST-00217,0,Yes,No,13,Month-to-month,DSL,No internet service,No,Electronic check,51.68,655.56,No
CUST-00218,0,Yes,No,1,Two year,DSL,Yes,Yes,Bank transfer,53.98,51.04,Yes
CUST-00219,0,Yes,Yes,68,Month-to-month,No,Yes,No,Credit card,98.18,6446.9,Yes
CUST-00220,0,No,No,20,Month-to-month,Fiber optic,No,Yes,Credit card,18.0,345.26,Yes
CUST-00221,0,No,Yes,22,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,44.95,935.97,Yes
CUST-00222,0,No,Yes,49,One year,DSL,No,Yes,Electronic check,119.63,5321.95,No
CUST-00223,0,Yes,Yes,18,Two year,Fiber optic,No,Yes,Electronic check,76.82,1332.04,No
CUST-00224,0,No,Yes,27,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,42.88,1103.87,Yes
CUST-00225,0,Yes,No,51,Two year,DSL,Yes,Yes,Credit card,64.16,2946.8,No
CUST-00226,0,No,No,43,Month-to-month,No,Yes,No,Credit card,66.35,2626.76,No
CUST-00227,0,Yes,No,47,One year,DSL,No internet service,No,Mailed check,81.92,3488.86,No
CUST-00228,0,No,No,0,One year,DSL,No,Yes,Bank transfer,101.79,,No
CUST-00229,0,No,No,32,Month-to-month,Fiber optic,No,No,Electronic check,72.77,2099.3,Yes
CUST-00230,0,No,No,34,Month-to-month,Fiber optic,No,No,Bank transfer,54.2,1813.76,Yes
CUST-00231,0,Yes,No,46,Month-to-month,DSL,No,No,Electronic check,80.74,3694.52,No
CUST-00232,0,No,No,11,Two year,Fiber optic,Yes,Yes,Credit card,51.03,559.96,No
CUST-00233,0,No,No,11,One year,DSL,Yes,No,Credit card,44.33,449.92,No
CUST-00234,0,Yes,No,55,Two year,Fiber optic,No,Yes,Electronic check,29.8,1556.25,Yes
CUST-00235,1,No,Yes,49,Two year,Fiber optic,No,No,Credit card,33.7,1633.33,No
CUST-00236,0,No,No,59,Month-to-month,No,Yes,Yes,Credit card,47.07,2690.3,Yes
CUST-00237,0,No,Yes,19,One year,Fiber optic,No,No,Mailed check,41.44,732.15,No
CUST-00238,1,No,Yes,72,Month-to-month,Fiber optic,No internet service,No,Mailed check,71.26,5045.53,No
CUST-00239,0,Yes,No,19,Month-to-month,Fiber optic,Yes,No,Electronic check,41.01,745.99,Yes
CUST-00240,0,No,No,47,Two year,DSL,Yes,Yes,Credit card,18.0,823.16,No
CUST-00241,0,Yes,Yes,11,One year,DSL,No,No,Electronic check,44.12,483.84,No
CUST-00242,0,Yes,No,67,Month-to-month,No,Yes,Yes,Credit card,55.56,,No
CUST-00243,0,No,No,24,Month-to-month,DSL,No,No,Bank transfer,52.89,1206.5,No
CUST-00244,0,No,Yes,58,One year,Fiber optic,No,Yes,Credit card,95.39,5066.01,No
CUST-00245,0,No,No,24,Two year,DSL,No,No,Mailed check,52.73,1217.37,No
CUST-00246,0,No,No,57,One year,No,No,Yes,Credit card,82.62,4541.62,No
CUST-00247,0,Yes,No,33,Month-to-month,DSL,No,Yes,Mailed check,64.62,2041.22,Yes
CUST-00248,0,No,Yes,4,Month-to-month,No,No,Yes,Mailed check,64.15,241.77,Yes
CUST-00249,0,Yes,No,13,Month-to-month,Fiber optic,Yes,Yes,Mailed check,48.29,601.5,Yes
CUST-00250,0,No,No,49,One year,DSL,No,Yes,Credit card,63.82,2981.47,Yes
CUST-00251,1,No,Yes,14,Two year,Fiber optic,No,No,Mailed check,49.7,691.95,Yes
CUST-00252,0,No,No,20,Month-to-month,Fiber optic,No,No,Mailed check,68.4,1345.78,No
CUST-00253,0,No,No,39,Month-to-month,DSL,Yes,No,Bank transfer,60.28,2208.38,No
CUST-00254,0,No,Yes,18,Month-to-month,DSL,No,No,Bank transfer,46.11,794.36,Yes
CUST-00255,0,No,No,9,One year,Fiber optic,No,Yes,Bank transfer,84.84,730.43,Yes
CUST-00256,0,No,No,45,Two year,Fiber optic,Yes,Yes,Mailed check,73.54,3147.38,Yes
CUST-00257,0,Yes,No,50,Month-to-month,DSL,No,Yes,Electronic check,56.04,2538.07,No
CUST-00258,0,No,No,53,Month-to-month,No,No,Yes,Credit card,67.91,3495.79,Yes
CUST-00259,0,Yes,Yes,68,One year,DSL,No,Yes,Mailed check,63.32,4190.05,No
CUST-00260,0,No,No,9,Month-to-month,DSL,Yes,No,Credit card,47.65,406.73,Yes
CUST-00261,0,No,No,31,Two year,Fiber optic,No internet service,No,Mailed check,66.41,,No
CUST-00262,0,No,Yes,17,Month-to-month,DSL,Yes,No,Bank transfer,52.58,892.42,No
CUST-00263,0,No,No,65,Month-to-month,DSL,No internet service,Yes,Bank transfer,46.1,2940.44,Yes
CUST-00264,0,No,No,39,Two year,Fiber optic,No,No,Credit card,32.54,1259.91,No
CUST-00265,0,No,No,7,Month-to-month,DSL,Yes,Yes,Electronic check,57.83,384.06,No
CUST-00266,0,Yes,Yes,50,Month-to-month,DSL,No,No,Bank transfer,76.34,3784.27,No
CUST-00267,0,Yes,No,3,Month-to-month,Fiber optic,No,Yes,Electronic check,51.11,152.33,Yes
CUST-00268,0,Yes,No,20,Month-to-month,Fiber optic,No,Yes,Credit card,115.41,2221.31,No
CUST-00269,0,No,No,52,Month-to-month,No,No,Yes,Bank transfer,82.71,3935.65,Yes
CUST-00270,0,No,No,36,Month-to-month,Fiber optic,No,Yes,Credit card,91.09,3001.26,No
CUST-00271,0,No,No,55,Month-to-month,Fiber optic,No,Yes,Mailed check,80.9,4214.7,No
